estacionID,nombre,latitud,longitud
TMOSL,"Tampamolón, S.L.P.",21.55,-98.816667
XOCTL,"Xocoyucan, Tlax.",19.307222,-98.382778
SPPDF,"San Pedro Tláhuac, D.F.",19.281389,-99.009722
CTSSL,"Cerritos, S.L.P.",22.431667,-100.283056
PIXPB,"Piaxtla, Pue.",18.2,-98.264722
JMANR,"Jesús María, Nay.",22.250833,-104.516944
ELCPB,"El Carmen, Pue.",20.083333,-98.116667
TALCP,"Talismán, Chis.",14.966667,-92.147222
LPSCM,"La Posta, Col.",19.223333,-103.725278
CFSDF,"Caseta Forestal, D.F.",19.155556,-99.208333
TONCP,"Tonalá, Chis.",16.086944,-93.75
RSTDR,"Rositas, Dgo.",25.776667,-103.115278
PDZMX,"Porfirio Díaz, Méx.",18.903333,-99.611667
K68SO,"Km. 68 de Canal Alto, Son.",27.354444,-109.858611
JDPGJ,"Jaral del Progreso, Gto.",20.38,-101.056389
TCTJL,"Tacotán, Jal.",20.036111,-104.320278
TEZPB,"Teziutlán, Pue.",19.815278,-97.956944
K23SO,KM.-23,27.776667,-109.904444
TPZMR,"Tepoztlán, Mor.",18.971389,-99.072778
HTZGR,"Huitzuco, Gro.",18.3025,-99.332778
CIVYC,"CINVESTAV, Yuc.",21.021389,-89.6275
EPGTP,"Emilio Portes Gil, Tamps.",22.941944,-98.788611
TESSO,"Tesia, Son.",27.171111,-109.358333
ELLMC,"El Llano, Mich.",20,-102.4
TPICP,"Tres Picos, Chis.",15.875,-93.529167
PBODF,"P. B. U. E. de Oriente, D.F.",19.38,-99.037778
DNXMX,"Danxho, Méx.",19.884722,-99.559722
GUCJL,"Guadalajara los Colomos, Jal.",20.7,-103.4
SLTTL,"San Luis Teolocholco, Tlax.",19.244167,-98.19
LLAPB,"La Laguna, Pue.",20.135556,-98.128333
TXPVC,"Tuxpan, Ver.",20.955556,-97.4
SANDF,"Santa Ana, D.F.",19.166667,-99
TSJDF,"T. San Joaquín, D.F.",19.436389,-99.228611
AMCGJ,"Ameche, Gto.",20.55,-100.583333
ETAMR,"E.T.A. 118, Mor.",18.881944,-98.967222
SPECL,"San Pedro, Coah.",25.7575,-102.979444
HUECP,"Huehuetán, Chis.",14.997222,-92.402778
AMCMR,"Amacuzac, Mor.",18.6,-99.4
TLAGR,"Tlacotepec, Gro.",17.789722,-99.976389
HSHSO,"Huachinera, Son.",30.210556,-108.957222
RDSNL,"Rodríguez, N.L.",27.233333,-100.133333
PTLMX,"Presa Totolica, Méx.",19.408333,-99.213333
YESJL,"La Yesca, Jal.",21.193056,-104.090278
TPJPB,"Tepexi de Rodríguez, Pue.",18.584722,-97.933333
TUXOX,"Tuxtepec, Oax.",18.083333,-96.133333
CULJL,"Cuale, Jal.",20.583333,-105.05
HZMDR,"Huazamota, Dgo.",22.31,-104.29
CAGDR,"Campo Agrícola, Dgo.",24,-104.7
CBRCL,"Cabeceras, Coah.",29.15,-101.116667
NYXCA,"Noh-Yaxche, Camp.",19.439167,-90.221389
IHXTL,"Ixtlahuixtla, Tlax.",19.326667,-98.366111
SLZTP,"San Lorenzo, Tamps.",22.943889,-98.791389
YCRSI,"Yecorato, Sin.",26.916667,-108.216667
CANQR,"Cancún, Q. Roo.",21.156667,-86.82
VDANL,"Villa de Allende, N.L.",25.3,-100
SJLJL,"San Julián, Jal.",21.033333,-102.183333
TXTGR,"Tixtla, Gro.",17.568056,-99.399444
AMLDR,"Agustín Melgar, Dgo.",25.264167,-104.068056
MGSTP,"Magiscatzin II, Tamps.",22.795833,-98.705556
CRRJL,"Corrinchis, Jal.",20.133333,-103.716667
EBLSI,"Eustaquio Buelna, Sin.",25.484722,-108.065556
EZCDF,"El Zarco, D.F.",19.295,-99.352222
FCRQR,"Felipe Carrillo Puerto, Q. Roo.",19.574167,-88.043889
GESDR,"Gral. Escobedo, Dgo.",25.5,-105.25
CNPMX,"La Concepción, Méx.",19.695,-99.304444
LCRDR,"Lázaro Cárdenas, Dgo.",25.594167,-105.015833
LAYMX,"La Y, Méx.",19.4,-99.6
ALENL,"Allende, N.L.",25.283333,-100.033333
ARNNL,"Arenal, N.L.",25.813889,-98.975
APCNL,"Apodaca, N.L.",25.779167,-100.190278
VNTQT,"La Venta, Qro.",20.498611,-100.190556
TDRDR,"El Tule del Real, Dgo.",24.5,-106
SHEZC,"Sierra Hermosa, Zac.",23.618056,-101.723056
TECVC,"Tecolutla, Ver.",20.479167,-97.009722
OLVVC,"El Olivo, Ver.",21.840278,-98.5125
SBNTP,"Sabina, Tamps.",23.022778,-99.094444
K14SO,"Km. 14 de Canal Alto, Son.",27.706667,-109.896389
PUYTB,"Puyacatengo, Tab.",17.566667,-92.9375
AMATL,"Amaxac, Tlax.",19.3,-98.1
INGCH,"San Ignacio, Chih.",26.870833,-107.879167
IXHCM,"Ixtlahuacan, Col.",19,-103.718056
LCLJL,"La Colonia, Jal.",20.43,-102.931944
LBABS,"Los Barriles, B.C.S.",23.680556,-109.697222
K27MX,"KM. 27+250, Méx.",19.633333,-99.05
CHPNR,"Chapalagana, Nay.",21.944167,-104.5
ELOSL,"Cañada del Lobo, S.L.P.",22.094722,-100.9675
LIMSL,"El Limón, S.L.P.",0,0
HPOCA,"Hopelchen, Camp.",19.757778,-89.842222
HITZC,"Huitzila, Zac.",21.223889,-103.605556
LMOZC,"Luis Moya, Zac.",22.438611,-102.251667
GPEZC,"Guadalupe, Zac.",22.746667,-102.506667
SLRSI,"San Lorenzo, Sin.",24.8,-107.1
CUHGR,"Coloso (U. H. El Coloso), Gro.",16.855556,-99.831944
PRMDF,"P. T. Río Magdalena, D.F.",19.513056,-99.154444
SCADF,"Santa Cruz Acatlán, D.F.",19.402222,-99.133333
AFIGR,"Andrés Figueroa, Gro.",18.075833,-100.5175
ADCGR,"Almacén de Chilpancingo, Gro.",17.6,-99.5
JUCOX,"Juchitan, Oax.",16.433333,-95.033333
PLMMX,"Palmas, Méx.",19.429444,-99.248889
TMPTP,"Tampico, Tamps.",22.238611,-97.878889
ARBMX,"Las Arboledas, Méx.",19.566667,-99.216667
BTZNL,"Benítez, N.L.",24.733333,-99.466667
CUCMR,"Cuernavaca Centro, Mor.",18.95,-99.233333
PGNDF,"Planta Generadora 101, D.F.",19.455833,-99.097222
TGRGJ,"Tres Guerras, Gto.",20.5,-100.8
ALMSI,"Adolfo López Mateos, Sin.",25.101389,-107.388333
LBUZC,"La Bufa, Zac.",22.778889,-102.566944
CHLMC,"Chilatan, Mich.",19.287778,-102.774167
EBDSI,"El Bledal, Sin.",24.804167,-107.145833
BOQOX,"Boquilla I, Oax.",16.647222,-95.929167
PDLSI,"Palo Dulce, Sin.",27,-108.416667
PCOCP,"Puente Concordia, Chis.",15.848611,-91.968056
EYNTP,"S-J-3-60 Reynosa, Tamps.",25.765833,-98.167778
LQMJL,LAS QUEMADAS,20.960556,-104.049444
LDCJL,"Lago de Chapala, Jal.",20.18,-103.12
TSFNL,"Túnel de San Francisco, N.L.",25.413333,-100.165278
LGLMX,"Lago Guadalupe, Méx.",19.627778,-99.252778
NGRAG,"El Niagara, Ags.",21.78,-102.371667
SCHCM,"Suchitlán, Col.",19.408333,-103.700833
OBSTL,"Observatorio, Tlax.",19.4,-98.2
LACCP,"Lacantún, Chis.",16.580833,-90.702222
MEXJL,"Mexticacan, Jal.",21.263889,-102.775833
ACTVC,"Actopan, Ver.",19.495,-96.5875
ACTHD,"Actopan, Hgo.",20.268056,-98.941667
PDMBN,"Derivadora Morelos, B.C.",32.703889,-114.729444
CPLGJ,"Copalillo, Gto.",20.721667,-101.346667
MCATP,"S-J-2-23 Municipio Camargo, Tamps.",26.234444,-98.682222
ENNTP,"La Encantada, Tamps.",23.383333,-99.083333
TECZC,"Tecomate, Zac.",21.543611,-103.041944
ATYGR,"Atoyac, Gro.",17.210278,-100.433333
YAHMR,"Yautepec, Mor.",18.9,-99.1
FRSNL,"Fresnillo, N.L.",26.4,-99.9
AHUPB,"Ahuazontepec, Pue.",20.033056,-98.148056
MRYTP,"S-J-2-33 Municipio Reynosa, Tamps.",26.215556,-98.511667
VILMC,"La Villita, Mich.",18.048333,-102.180278
BVSSO,"Bavispe, Son.",30.479444,-108.938889
SLCSO,"San Luis Río Colorado, Son.",32.483333,-114.783333
ABRAG,"Abelardo R., Ags.",21.916944,-102.427778
